PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
ʌ-o,5,0,14,22,0,0.08336911714187564,0.12195121951219512,0,0.06572769953051644,0.22916666666666666,0
ʌ-o_e,0,0,19,0,0,0.01784037558685446,0,0,0.0892018779342723,0,0
ʌ-oe,0,0,1,0,0,9.389671361502347e-4,0,0,0.004694835680751174,0,0
ʌ-oo,0,0,2,1,0,0.003961267605633803,0,0,0.009389671361502348,0.010416666666666666,0
ʌ-ou,0,0,8,6,0,0.020011737089201877,0,0,0.03755868544600939,0.0625,0
ʌ-u,36,0,157,67,0,0.46261092980648116,0.8780487804878049,0,0.7370892018779343,0.6979166666666666,0
ʌ-u_e,0,0,2,0,0,0.0018779342723004694,0,0,0.009389671361502348,0,0
ʌ-uh,0,0,0,0,0,0,0,0,0,0,0
ʒ-g,0,0,0,0,1,0.2,0,0,0,0,1
ʒ-j,0,0,0,0,0,0,0,0,0,0,0
ʒ-s,0,2,0,0,0,0.13333333333333333,0,0.6666666666666666,0,0,0
ʒ-si,0,1,0,0,0,0.06666666666666667,0,0.3333333333333333,0,0,0
ʒ-ti,0,0,0,0,0,0,0,0,0,0,0
ʒ-z,0,0,0,0,0,0,0,0,0,0,0
θ-th,38,8,0,12,32,0.8,1,1,0,1,1
θ-tth,0,0,0,0,0,0,0,0,0,0,0
