"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"190",190,"ə","oi",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"191",191,"ə","oi_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"192",192,"ə","on",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"193",193,"ə","ou",0,6,11,3,0,20,-Inf,0.778151250383644,1.04139268515823,0.477121254719662,-Inf,1.30102999566398
"194",194,"ə","u",1,7,61,10,0,79,0,0.845098040014257,1.78532983501077,1,-Inf,1.89762709129044
"195",195,"ə","u_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"196",196,"ə","ua",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"197",197,"ə","ui",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"198",198,"ə","y",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"199",199,"ɛ","a",8,0,1,36,0,45,0.903089986991944,-Inf,0,1.55630250076729,-Inf,1.65321251377534
"200",200,"ɛ","a_e",0,0,19,0,0,19,-Inf,-Inf,1.27875360095283,-Inf,-Inf,1.27875360095283
"201",201,"ɛ","aa",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"202",202,"ɛ","ae",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"203",203,"ɛ","ah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"204",204,"ɛ","ai",4,0,19,5,0,28,0.602059991327962,-Inf,1.27875360095283,0.698970004336019,-Inf,1.44715803134222
"205",205,"ɛ","ai_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"206",206,"ɛ","ay",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"207",207,"ɛ","aye",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"208",208,"ɛ","e",51,4,255,150,0,460,1.70757017609794,0.602059991327962,2.40654018043396,2.17609125905568,-Inf,2.66275783168157
"209",209,"ɛ","e_e",8,0,19,0,0,27,0.903089986991944,-Inf,1.27875360095283,-Inf,-Inf,1.43136376415899
"210",210,"ɛ","ea",0,0,39,25,0,64,-Inf,-Inf,1.5910646070265,1.39794000867204,-Inf,1.80617997398389
"211",211,"ɛ","ea_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"212",212,"ɛ","eh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"213",213,"ɛ","ei",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"214",214,"ɛ","eo",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"215",215,"ɛ","hei",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"216",216,"ɛ","ie",0,0,5,0,0,5,-Inf,-Inf,0.698970004336019,-Inf,-Inf,0.698970004336019
"217",217,"ɛ","u",0,0,0,2,0,2,-Inf,-Inf,-Inf,0.301029995663981,-Inf,0.301029995663981
"218",218,"f","f",269,112,13,12,37,443,2.42975228000241,2.04921802267018,1.11394335230684,1.07918124604762,1.568201724067,2.64640372622307
"219",219,"f","ff",0,25,1,2,12,40,-Inf,1.39794000867204,0,0.301029995663981,1.07918124604762,1.60205999132796
"220",220,"f","ft",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"221",221,"f","gh",0,1,0,1,5,7,-Inf,0,-Inf,0,0.698970004336019,0.845098040014257
"222",222,"f","lf",0,0,0,0,2,2,-Inf,-Inf,-Inf,-Inf,0.301029995663981,0.301029995663981
"223",223,"f","ph",6,12,0,0,5,23,0.778151250383644,1.07918124604762,-Inf,-Inf,0.698970004336019,1.36172783601759
"224",224,"f","pph",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"225",225,"g","g",162,114,1,9,45,331,2.20951501454263,2.05690485133647,0,0.954242509439325,1.65321251377534,2.51982799377572
"226",226,"g","gg",0,26,0,2,1,29,-Inf,1.41497334797082,-Inf,0.301029995663981,0,1.46239799789896
"227",227,"g","gh",1,1,0,0,0,2,0,0,-Inf,-Inf,-Inf,0.301029995663981
"228",228,"g","gu",4,1,0,0,0,5,0.602059991327962,0,-Inf,-Inf,-Inf,0.698970004336019
"229",229,"dʒ","d",0,6,0,0,0,6,-Inf,0.778151250383644,-Inf,-Inf,-Inf,0.778151250383644
"230",230,"dʒ","dg",0,2,0,0,8,10,-Inf,0.301029995663981,-Inf,-Inf,0.903089986991944,1
"231",231,"dʒ","di",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"232",232,"dʒ","dj",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"233",233,"dʒ","g",16,34,0,3,35,88,1.20411998265592,1.53147891704226,-Inf,0.477121254719662,1.54406804435028,1.94448267215017
"234",234,"dʒ","gg",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"235",235,"dʒ","gi",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
