PG mapping,consistency_bin_2,consistency_bin_3,consistency_bin_4,consistency_bin_5,consistency_bin_6,consistency_bin_7,consistency_bin_8,consistency_bin_9,consistency_bin_10,consistency_bin_11,consistency_bin_12,consistency_bin_13,consistency_bin_14,consistency_bin_15,consistency_bin_16,consistency_bin_17,consistency_bin_18,consistency_bin_19,consistency_bin_20,consistency_bin_21,consistency_bin_22,consistency_bin_23,consistency_bin_24
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,0,0,0,0,0,0,0.00873141410945903,0.00816101461262751,0.00810450546520927,0.0078125,0.00759906759906759,0.00758732361785796,0.00757575757575757,0.00757575757575757,0.00757575757575757,0.00757575757575757,0.00757575757575757,0.00757575757575757,0.00757575757575757,0.00757575757575757,0.00757575757575757
aʊ-ho,0,0,0,0,0.01818181818181818,0.01538461538461538,0.01176470588235294,0.00952380952380952,0.00909090909090909,0.00869565217391304,0.00869565217391304,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333
aʊ-hou,0,0,0,0,0.01818181818181818,0.01538461538461538,0.01176470588235294,0.00952380952380952,0.00909090909090909,0.00869565217391304,0.00869565217391304,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333
aʊ-o,0,0,0,0.05714285714285714,0.08311688311688312,0.06720647773279352,0.05196078431372549,0.04285714285714286,0.04106583072100313,0.04544179523141654,0.04544179523141654,0.05,0.0553030303030303,0.0553030303030303,0.0553030303030303,0.0553030303030303,0.0553030303030303,0.0553030303030303,0.0553030303030303,0.0553030303030303,0.0553030303030303,0.0553030303030303,0.0553030303030303
aʊ-ou,0,0.2,0.275,0.27226890756302524,0.2571428571428571,0.46408328513591657,0.4759981100874084,0.4886352479135984,0.4882775876448765,0.49104661895685736,0.4920496563235311,0.4916666666666667,0.491969696969697,0.4925803839925978,0.4916666666666667,0.4916666666666667,0.4916666666666667,0.4916666666666667,0.4916666666666667,0.4916666666666667,0.4916666666666667,0.4916666666666667,0.4916666666666667
aʊ-ou_e,0,0,0.05,0.03529411764705882,0.04848484848484848,0.04285714285714286,0.04337349397590361,0.05076092292587138,0.04945788156797331,0.04972129319955407,0.05001796622349982,0.05052083333333333,0.04987179487179487,0.04955470737913486,0.05075757575757576,0.05075757575757576,0.05075757575757576,0.05075757575757576,0.05075757575757576,0.05075757575757576,0.05075757575757576,0.05075757575757576,0.05075757575757576
aʊ-ough,0,0,0,0,0,0,0.01666666666666666,0.01333333333333333,0.0143348623853211,0.01420940170940171,0.02387511478420569,0.02378472222222222,0.02376068376068376,0.02374893977947412,0.02373737373737373,0.02373737373737373,0.02373737373737373,0.02373737373737373,0.02373737373737373,0.02373737373737373,0.02373737373737373,0.02373737373737373,0.02373737373737373
aʊ-ow,0,0,0.475,0.4352941176470589,0.3748917748917749,0.39508386350491614,0.3884715331915899,0.38536573392243495,0.3781157430042277,0.372319170232915,0.36146676506232794,0.35798611111111106,0.3532905982905983,0.3530322307039864,0.35277777777777775,0.35277777777777775,0.35277777777777775,0.35277777777777775,0.35277777777777775,0.35277777777777775,0.35277777777777775,0.35277777777777775,0.35277777777777775
aʊ-ow_e,0,0,0,0,0,0,0,0,0.0018348623853211,0.0017094017094017,0.00165289256198347,0.0015625,0.00153846153846153,0.0015267175572519,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151
