"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"146",146,"ɔ","oo",0,0,12,1,0,13,-Inf,-Inf,1.07918124604762,0,-Inf,1.11394335230684
"147",147,"ɔ","oo_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"148",148,"ɔ","ou",0,0,12,0,0,12,-Inf,-Inf,1.07918124604762,-Inf,-Inf,1.07918124604762
"149",149,"ɔ","ou_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"150",150,"ɔ","ough",1,0,6,0,0,7,0,-Inf,0.778151250383644,-Inf,-Inf,0.845098040014257
"151",151,"tʃ","c",1,1,0,0,0,2,0,0,-Inf,-Inf,-Inf,0.301029995663981
"152",152,"tʃ","cc",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"153",153,"tʃ","ch",89,22,2,4,64,181,1.94939000664491,1.34242268082221,0.301029995663981,0.602059991327962,1.80617997398389,2.25767857486918
"154",154,"tʃ","ci",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"155",155,"tʃ","t",0,41,0,0,0,41,-Inf,1.61278385671974,-Inf,-Inf,-Inf,1.61278385671974
"156",156,"tʃ","tch",0,9,0,2,26,37,-Inf,0.954242509439325,-Inf,0.301029995663981,1.41497334797082,1.568201724067
"157",157,"tʃ","ti",0,4,0,0,0,4,-Inf,0.602059991327962,-Inf,-Inf,-Inf,0.602059991327962
"158",158,"d","d",349,314,20,83,412,1178,2.54282542695918,2.49692964807321,1.30102999566398,1.91907809237607,2.61489721603313,3.07114529045108
"159",159,"d","dd",0,29,1,1,2,33,-Inf,1.46239799789896,0,0,0.301029995663981,1.51851393987789
"160",160,"d","ddh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"161",161,"d","ed",0,0,0,0,17,17,-Inf,-Inf,-Inf,-Inf,1.23044892137827,1.23044892137827
"162",162,"d","ld",0,0,0,0,3,3,-Inf,-Inf,-Inf,-Inf,0.477121254719662,0.477121254719662
"163",163,"ð","th",17,39,4,2,7,69,1.23044892137827,1.5910646070265,0.602059991327962,0.301029995663981,0.845098040014257,1.83884909073726
"164",164,"ə","_e",0,1,195,0,0,196,-Inf,0,2.29003461136252,-Inf,-Inf,2.29225607135648
"165",165,"ə","a",135,49,151,140,59,534,2.13033376849501,1.69019608002851,2.17897694729317,2.14612803567824,1.77085201164214,2.72754125702856
"166",166,"ə","a_e",0,6,23,0,0,29,-Inf,0.778151250383644,1.36172783601759,-Inf,-Inf,1.46239799789896
"167",167,"ə","ae",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"168",168,"ə","ah",0,0,0,0,1,1,-Inf,-Inf,-Inf,-Inf,0,0
"169",169,"ə","ai",0,0,9,0,0,9,-Inf,-Inf,0.954242509439325,-Inf,-Inf,0.954242509439325
"170",170,"ə","au",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"171",171,"ə","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"172",172,"ə","e",4,24,319,87,1,435,0.602059991327962,1.38021124171161,2.50379068305718,1.93951925261862,0,2.63848925695464
"173",173,"ə","e_e",0,7,19,0,0,26,-Inf,0.845098040014257,1.27875360095283,-Inf,-Inf,1.41497334797082
"174",174,"ə","ea",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"175",175,"ə","ea_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"176",176,"ə","ei",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"177",177,"ə","eo",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"178",178,"ə","eou",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"179",179,"ə","ha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"180",180,"ə","he",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"181",181,"ə","hi",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"182",182,"ə","ho",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"183",183,"ə","i",0,3,37,116,0,156,-Inf,0.477121254719662,1.568201724067,2.06445798922692,-Inf,2.19312459835446
